age_calBP,Age [ka b2k],Temp1,Temp2,Temp3,Temp4
46.15,46.2,6.26,6.92,9.02,8.62
142.75,142.8,5.1,6.49,7.71,8.08
174.95,175,4.9,6.38,7.81,8.19
239.35,239.4,5.17,6.58,8.1,8.41
303.75,303.8,6.03,7.31,8.77,9
368.15,368.2,6.51,7.4,8.98,8.88
464.75,464.8,6.54,7,8.26,7.92
561.35,561.4,7.38,7.75,8.76,8.42
625.75,625.8,7.32,7.87,8.72,8.56
686.35,686.4,9.54,10.25,11.65,11.46
700.55,700.6,9.82,10.49,11.39,11.3
728.95,729,9.44,9.85,11.04,10.68
743.15,743.2,9.67,10.43,11.41,11.36
982.45,982.5,10,11.07,10.54,11.11
1736.35,1736.4,9.68,10.49,9.97,10.34
2458.55,2458.6,10.8,11.56,11.42,11.65
3077.65,3077.7,9.77,10.84,10.52,11.04
3284.05,3284.1,10.11,11.29,10.34,11.1
3799.95,3800,12.17,13.26,12.53,13.17
4271.35,4271.4,11.56,12.28,12.04,12.27
4899.95,4900,10.13,10.7,10.6,10.68
5528.55,5528.6,12.05,12.95,12.43,12.87
5842.85,5842.9,13.3,13.87,13.51,13.66
6594.55,6594.6,11.6,12.29,11.83,12.09
7387.35,7387.4,11.82,12.7,12.25,12.65
8180.15,8180.2,11.52,12.24,11.85,12.13
8497.35,8497.4,12.47,13.48,12.6,13.21
8905.65,8905.7,13.54,14.55,13.57,14.21
9364.25,9364.3,12.77,13.54,12.93,13.3
9517.05,9517.1,12.92,13.81,13.05,13.54
9669.95,9670,10.69,11.93,11.06,11.84
9975.65,9975.7,9.51,10.29,10.45,10.62
10281.35,10281.4,10.01,10.84,10.89,11.14
10434.25,10434.3,9.76,10.22,10.35,10.31
10739.95,10740,9.68,10.81,10.11,10.77
11381.95,11382,6.69,7.67,7.77,8.11
12231.45,12231.5,6.57,7.62,7.46,7.92
12759.95,12760,7.48,8.21,8.26,8.43
12957.25,12957.3,8.81,9.64,10.14,10.27
13104.45,13104.5,8.94,9.37,10.44,10.13
13249.75,13249.8,7.85,8.87,8.92,9.31
13346.65,13346.7,7.21,8.01,8.03,8.26
13849.95,13850,10.32,11.02,11,11.16
14087.1331,14087.1831,10.04,10.76,10.6,10.82
14205.72465,14205.77465,9.28,10.03,9.8,10.06
13127.46351,13127.51351,14.21,12.91,14.18,12.52
13340.11216,13340.16216,13.75,12.4,13.67,11.98
13874.49545,13874.54545,12.65,10.56,12.6,10.15
14317.25,14317.3,12.23,10.3,12.24,9.94
14615.35,14615.4,12.04,9.44,12.23,9.21
14827.05,14827.1,10.51,8.18,10.26,7.63
15197.55,15197.6,8.17,6.93,7.95,6.41
15463.95,15464,9.13,8.2,9.41,8.05
15550.85,15550.9,8.78,7.78,8.98,7.57
16122.75,16122.8,8.66,7.66,9,7.55
16694.75,16694.8,7.67,6.24,8.39,6.42
16980.65,16980.7,7.61,6.33,7.38,5.79
17552.55,17552.6,7.95,7.28,8.39,7.24
